name,value,year,lastValue,rank
Microsoft,59448.6,2010.8,59629.4,
IBM,59385,2008.3,59267,
Microsoft,59376.7,2012.9,59207.4,
Microsoft,59338,2005.2,59639.5,
Apple,59337.6,2011.6,55030,
Microsoft,59267.8,2010.9,59448.6,
IBM,59267,2008.2,59149,
Microsoft,59207.4,2012.8,59038.1,
Microsoft,59195.8,2009.6,58771,
Samsung,59161.8,2017.8,58797.7,
IBM,59149,2008.1,59031,
Microsoft,59087,2011,59267.8,
Microsoft,59038.1,2012.7,58868.8,
Microsoft,59036.5,2005.3,59338,
IBM,59031,2008,58836.9,
Amazon,59012.8,2016.6,57567,
Microsoft,59007,2008,58977.2,
Microsoft,58977.2,2007.9,58947.4,
Microsoft,58963.6,2011.1,59087,
Microsoft,58947.4,2007.8,58917.6,
Microsoft,58917.6,2007.7,58887.8,
Microsoft,58887.8,2007.6,58858,
Microsoft,58868.8,2012.6,58699.5,
Microsoft,58858,2007.5,58828.2,
Microsoft,58840.2,2011.2,58963.6,
IBM,58836.9,2007.9,58642.8,
Microsoft,58828.2,2007.4,58798.4,
Microsoft,58798.4,2007.3,58768.6,
Samsung,58797.7,2017.7,58433.6,
IBM,58797.5,2015.5,60057,
Microsoft,58771,2008.1,59007,
Microsoft,58771,2009.5,58346.2,
Microsoft,58768.6,2007.2,58738.8,
Microsoft,58738.8,2007.1,58709,
Microsoft,58735,2005.4,59036.5,
Microsoft,58716.8,2011.3,58840.2,
Microsoft,58709,2007,58530.7,
Microsoft,58699.5,2012.5,58530.2,
IBM,58642.8,2007.8,58448.7,
Microsoft,58593.4,2011.4,58716.8,
Microsoft,58535,2008.2,58771,
Microsoft,58530.7,2006.9,58352.4,
Microsoft,58530.2,2012.4,58360.9,
Microsoft,58470,2011.5,58593.4,
IBM,58448.7,2007.7,58254.6,
Samsung,58433.6,2017.6,58069.5,
Microsoft,58433.5,2005.5,58735,
Microsoft,58360.9,2012.3,58191.6,
Microsoft,58352.4,2006.8,58174.1,
Microsoft,58346.6,2011.6,58470,
Microsoft,58346.2,2009.4,57921.4,
Microsoft,58299,2008.3,58535,
IBM,58254.6,2007.6,58060.5,
Microsoft,58223.2,2011.7,58346.6,
Google,58198.8,2011.2,56757.9,
Microsoft,58191.6,2012.2,58022.3,
Microsoft,58174.1,2006.7,57995.8,
Microsoft,58132,2005.6,58433.5,
Microsoft,58099.8,2011.8,58223.2,
Samsung,58069.5,2017.5,57705.4,
Microsoft,58063,2008.4,58299,
IBM,58060.5,2007.5,57866.4,
Microsoft,58022.3,2012.1,57853,
Microsoft,57995.8,2006.6,57817.5,
Microsoft,57976.4,2011.9,58099.8,
Microsoft,57921.4,2009.3,57496.6,
IBM,57866.4,2007.4,57672.3,
Microsoft,57853,2012,57976.4,
Microsoft,57830.5,2005.7,58132,
Microsoft,57827,2008.5,58063,
Microsoft,57817.5,2006.5,57639.2,
Samsung,57705.4,2017.4,57341.3,
IBM,57672.3,2007.3,57478.2,
Microsoft,57639.2,2006.4,57460.9,
Microsoft,57591,2008.6,57827,
Amazon,57567,2016.5,56121.2,
IBM,57538,2015.6,58797.5,
Microsoft,57529,2005.8,57830.5,
Microsoft,57496.6,2009.2,57071.8,
IBM,57478.2,2007.2,57284.1,
Microsoft,57460.9,2006.3,57282.6,
Microsoft,57355,2008.7,57591,
Samsung,57341.3,2017.3,56977.2,
IBM,57284.1,2007.1,57090,
Microsoft,57282.6,2006.2,57104.3,
Microsoft,57227.5,2005.9,57529,
Microsoft,57119,2008.8,57355,
Microsoft,57104.3,2006.1,56926,
IBM,57090,2007,57001.1,
Microsoft,57071.8,2009.1,56647,
IBM,57001.1,2006.9,56912.2,
Samsung,56977.2,2017.2,56613.1,
Microsoft,56926,2006,57227.5,
IBM,56912.2,2006.8,56823.3,
Microsoft,56883,2008.9,57119,
IBM,56823.3,2006.7,56734.4,
Google,56757.9,2011.1,55317,
IBM,56734.4,2006.6,56645.5,
Microsoft,56647,2009,56883,
IBM,56645.5,2006.5,56556.6,
Samsung,56613.1,2017.1,56249,
IBM,56556.6,2006.4,56467.7,
IBM,56467.7,2006.3,56378.8,
IBM,56378.8,2006.2,56289.9,
IBM,56289.9,2006.1,56201,
IBM,56278.5,2015.7,57538,
Samsung,56249,2017,55804.9,
IBM,56201,2006,55918.5,
Amazon,56121.2,2016.4,54675.4,
IBM,55918.5,2005.9,55636,
Samsung,55804.9,2016.9,55360.8,
IBM,55636,2005.8,55353.5,
Samsung,55360.8,2016.8,54916.7,
IBM,55353.5,2005.7,55071,
Google,55317,2011,54141,
IBM,55071,2005.6,54788.5,
Apple,55030,2011.5,50722.4,
IBM,55019,2015.8,56278.5,
Samsung,54916.7,2016.7,54472.6,
IBM,54788.5,2005.5,54506,
Amazon,54675.4,2016.3,53229.6,
IBM,54506,2005.4,54223.5,
Samsung,54472.6,2016.6,54028.5,
IBM,54223.5,2005.3,53941,
Google,54141,2010.9,52965,
Samsung,54028.5,2016.5,53584.4,
IBM,53941,2005.2,53658.5,
IBM,53791,2004,53588.6,
IBM,53759.5,2015.9,55019,
IBM,53749.5,2004.1,53791,
IBM,53708,2004.2,53749.5,
IBM,53666.5,2004.3,53708,
IBM,53658.5,2005.1,53376,
IBM,53625,2004.4,53666.5,
IBM,53588.6,2003.9,53386.2,
Samsung,53584.4,2016.4,53140.3,
IBM,53583.5,2004.5,53625,
Toyota,53580,2016,53126.8,
IBM,53542,2004.6,53583.5,
IBM,53500.5,2004.7,53542,
IBM,53459,2004.8,53500.5,
IBM,53417.5,2004.9,53459,
Toyota,53404,2018,53092.7,
IBM,53386.2,2003.8,53183.8,
IBM,53376,2005,53417.5,
Toyota,53251.1,2016.1,53580,
Amazon,53229.6,2016.2,51783.8,
IBM,53183.8,2003.7,52981.4,
IBM,53183,2000,53183,
Samsung,53140.3,2016.3,52696.2,
IBM,53139.9,2000.1,53183,
Toyota,53126.8,2015.9,52673.6,
IBM,53096.8,2000.2,53139.9,
Toyota,53092.7,2017.9,52781.4,
GE,53086,2008,52934.3,
IBM,53053.7,2000.3,53096.8,
IBM,53010.6,2000.4,53053.7,
IBM,52981.4,2003.6,52779,
IBM,52967.5,2000.5,53010.6,
Google,52965,2010.8,51789,
GE,52934.3,2007.9,52782.6,
IBM,52924.4,2000.6,52967.5,
Toyota,52922.2,2016.2,53251.1,
IBM,52881.3,2000.7,52924.4,
IBM,52838.2,2000.8,52881.3,
IBM,52795.1,2000.9,52838.2,
GE,52782.6,2007.8,52630.9,
Toyota,52781.4,2017.8,52470.1,
